repetition,scenario,defense,queries,abstract_query_cost,abstract_latency_ms,simulated_realistic_latency_ms
2,ap2_token_tampering,FULL,0,0,0.0526,0.0
2,ap2_token_tampering,CWR,0,0,0.0674,0.0
2,ap2_token_tampering,DFMR,0,0,0.0628,0.0
2,ap2_nonce_replay,AP2_ONLY,0,0,1.434,0.0
2,ap2_nonce_replay,MAJORITY,0,0,1.4504,0.0
2,ap2_nonce_replay,TTL,0,0,1.1716,0.0
2,ap2_nonce_replay,FULL,0,0,1.323,0.0
2,ap2_nonce_replay,CWR,0,0,1.2885,0.0
2,ap2_nonce_replay,DFMR,0,0,1.7804,0.0
2,ap2_audience_confusion,AP2_ONLY,0,0,1.4587,0.0
2,ap2_audience_confusion,MAJORITY,0,0,1.2959,0.0
2,ap2_audience_confusion,TTL,0,0,1.3022,0.0
2,ap2_audience_confusion,FULL,0,0,1.3411,0.0
2,ap2_audience_confusion,CWR,0,0,1.3674,0.0
2,ap2_audience_confusion,DFMR,0,0,1.388,0.0
2,ap2_transaction_swap,AP2_ONLY,0,0,2.8448,0.0
2,ap2_transaction_swap,MAJORITY,0,0,3.0788,0.0
2,ap2_transaction_swap,TTL,0,0,3.0146,0.0
2,ap2_transaction_swap,FULL,0,0,2.9576,0.0
2,ap2_transaction_swap,CWR,0,0,2.9915,0.0
2,ap2_transaction_swap,DFMR,0,0,2.9469,0.0
2,fault_budget_exceeded,AP2_ONLY,0,0,13.203,0.0
2,fault_budget_exceeded,MAJORITY,5,14,62.7449,455.7602
2,fault_budget_exceeded,TTL,0,0,2.9949,0.0
2,fault_budget_exceeded,FULL,5,14,94.9379,415.6211
2,fault_budget_exceeded,CWR,2,5,7.4749,273.6237
2,fault_budget_exceeded,DFMR,2,5,30.8449,229.1946
2,hidden_shared_dependency,AP2_ONLY,0,0,4.1808,0.0
2,hidden_shared_dependency,MAJORITY,5,14,10.0773,309.6844
2,hidden_shared_dependency,TTL,0,0,3.0002,0.0
2,hidden_shared_dependency,FULL,5,14,48.0557,414.3231
2,hidden_shared_dependency,CWR,2,3,35.9363,112.1227
2,hidden_shared_dependency,DFMR,2,3,13.7728,533.9089
